Configuration,Term,J,Level (cm-1),Uncertainty (cm-1),Leading percentages,Reference
3s2.3p.nd,*,3,65597.73,,,L5815
3s2.3p.nd,*,2,65601.9,,,L5815
3s2.3p.(2P*<3/2>).16d<5/2>,"(3/2,5/2)*",1,65601.9,,,L5815
3s2.3p.(2P*<3/2>).16d<5/2>,"(3/2,5/2)*",3,65602.64,,,L5815
3s2.3p.nd,*,2,65605.56,,,L5815
3s2.3p.nd,*,3,65606.56,,,L5815
3s2.3p.(2P*<3/2>).16d<3/2>,"(3/2,3/2)*",1,65608.44,,,L5815
3s2.3p.(2P*<3/2>).16d<3/2>,"(3/2,3/2)*",0,65608.63,,,L5815
3s2.3p.(2P*<1/2>).28d<3/2>,"(1/2,3/2)*",1,65608.44,,,L5815
3s2.3p.nd,*,2,65609.1,,,L5815
3s2.3p.(2P*<3/2>).18s<1/2>,"(3/2,1/2)*",2,65612.24,,,L5815
3s2.3p.(2P*<3/2>).18s<1/2>,"(3/2,1/2)*",1,65613.95,,,L5815
3s2.3p.nd,*,2,65613.3,,,L5815
3s2.3p.nd,*,3,65615.61,,,L5815
3s2.3p.(2P*<1/2>).29d<3/2>,"(1/2,3/2)*",1,65616.3,,,L5815
3s2.3p.nd,*,2,65616.84,,,L5815
3s2.3p.nd,*,2,65621.6,,,L5815
3s2.3p.nd,*,3,65623.93,,,L5815
3s2.3p.nd,*,2,65624.28,,,L5815
3s2.3p.(2P*<1/2>).30d<3/2>,"(1/2,3/2)*",1,65625.2,,,L5815
3s2.3p.nd,*,2,65628.3,,,L5815
3s2.3p.nd,*,3,65630.9,,,L5815
3s2.3p.nd,*,2,65630.9,,,L5815
3s2.3p.(2P*<1/2>).31d<3/2>,"(1/2,3/2)*",1,65633.15,,,L5815
3s2.3p.nd,*,2,65634.5,,,L5815
3s2.3p.nd,*,2,65637.1,,,L5815
3s2.3p.nd,*,3,65637.9,,,L5815
3s2.3p.(2P*<1/2>).32d<3/2>,"(1/2,3/2)*",1,65640.16,,,L5815
3s2.3p.nd,*,2,65640.7,,,L5815
3s2.3p.nd,*,3,65642.79,,,L5815
3s2.3p.nd,*,2,65644.03,,,L5815
3s2.3p.(2P*<1/2>).33d<3/2>,"(1/2,3/2)*",1,65646.6,,,L5815
3s2.3p.nd,*,2,65646.99,,,L5815
3s2.3p.nd,*,3,65647.43,,,L5815
3s2.3p.nd,*,2,65649.95,,,L5815
3s2.3p.(2P*<3/2>).17d<5/2>,"(3/2,5/2)*",1,65651.3,,,L5815
3s2.3p.(2P*<3/2>).17d<5/2>,"(3/2,5/2)*",3,65652.39,,,L5815
3s2.3p.nd,*,2,65652.19,,,L5815
3s2.3p.nd,*,3,65652.39,,,L5815
3s2.3p.(2P*<1/2>).34d<3/2>,"(1/2,3/2)*",1,65652.4,,,L5815
3s2.3p.nd,*,2,65654.15,,,L5815
3s2.3p.(2P*<3/2>).17d<3/2>,"(3/2,3/2)*",1,65656.3,,,L5815
3s2.3p.(2P*<3/2>).17d<3/2>,"(3/2,3/2)*",0,65657.24,,,L5815
3s2.3p.nd,*,2,65656.33,,,L5815
3s2.3p.nd,*,3,65657.5,,,L5815
3s2.3p.(2P*<1/2>).35d<3/2>,"(1/2,3/2)*",1,65658.0,,,L5815
3s2.3p.nd,*,2,65658.6,,,L5815
3s2.3p.(2P*<3/2>).19s<1/2>,"(3/2,1/2)*",2,65660.26,,,L5815
3s2.3p.(2P*<3/2>).19s<1/2>,"(3/2,1/2)*",1,65662.0,,,L5815
3s2.3p.nd,*,2,65660.9,,,L5815
3s2.3p.nd,*,3,65662.0,,,L5815
3s2.3p.(2P*<1/2>).36d<3/2>,"(1/2,3/2)*",1,65662.7,,,L5815
3s2.3p.nd,*,2,65662.8,,,L5815
3s2.3p.nd,*,2,65665.4,,,L5815
3s2.3p.nd,*,3,65666.8,,,L5815
3s2.3p.nd,*,2,65667.2,,,L5815
3s2.3p.(2P*<1/2>).37d<3/2>,"(1/2,3/2)*",1,65667.26,,,L5815
3s2.3p.nd,*,2,65669.8,,,L5815
3s2.3p.nd,*,3,65670.71,,,L5815
3s2.3p.nd,*,2,65670.91,,,L5815
3s2.3p.(2P*<1/2>).38d<3/2>,"(1/2,3/2)*",1,65671.4,,,L5815
3s2.3p.nd,*,2,65672.98,,,L5815
3s2.3p.nd,*,3,65674.4,,,L5815
3s2.3p.(2P*<1/2>).39d<3/2>,"(1/2,3/2)*",1,65675.3,,,L5815
3s2.3p.nd,*,3,65678.0,,,L5815
3s2.3p.(2P*<1/2>).40d<3/2>,"(1/2,3/2)*",1,65678.99,,,L5815
3s2.3p.nd,*,3,65681.1,,,L5815
3s2.3p.(2P*<1/2>).41d<3/2>,"(1/2,3/2)*",1,65682.2,,,L5815
3s2.3p.nd,*,3,65683.7,,,L5815
3s2.3p.(2P*<1/2>).42d<3/2>,"(1/2,3/2)*",1,65685.2,,,L5815
3s2.3p.nd,*,3,65686.5,,,L5815
3s2.3p.(2P*<1/2>).43d<3/2>,"(1/2,3/2)*",1,65688.15,,,L5815
3s2.3p.nd,*,3,65688.72,,,L5815
3s2.3p.(2P*<1/2>).44d<3/2>,"(1/2,3/2)*",1,65690.9,,,L5815
3s2.3p.nd,*,3,65691.07,,,L5815
3s2.3p.(2P*<3/2>).18d<5/2>,"(3/2,5/2)*",1,65693.0,,,L5815
3s2.3p.(2P*<3/2>).18d<5/2>,"(3/2,5/2)*",3,65693.9,,,L5815
3s2.3p.nd,*,3,65693.2,,,L5815
3s2.3p.nd,*,2,65695.2,,,L5815
3s2.3p.nd,*,3,65695.74,,,L5815
3s2.3p.(2P*<3/2>).18d<3/2>,"(3/2,3/2)*",1,65697.47,,,L5815
3s2.3p.(2P*<3/2>).18d<3/2>,"(3/2,3/2)*",0,65697.58,,,L5815
3s2.3p.(2P*<3/2>).20s<1/2>,"(3/2,1/2)*",1,65701.56,,,L5815
3s2.3p.(2P*<3/2>).19d<5/2>,"(3/2,5/2)*",1,65728.3,,,L5815
3s2.3p.(2P*<3/2>).19d<5/2>,"(3/2,5/2)*",3,65728.86,,,L5815
3s2.3p.nd,*,2,65730.4,,,L5815
3s2.3p.(2P*<3/2>).19d<3/2>,"(3/2,3/2)*",1,65732.27,,,L5815
3s2.3p.(2P*<3/2>).19d<3/2>,"(3/2,3/2)*",0,65732.3,,,L5815
3s2.3p.(2P*<3/2>).21s<1/2>,"(3/2,1/2)*",1,65736.06,,,L5815
Si II (3p 2P*<1/2>),Limit,---,65747.76,0.25,,L5815
3s2.3p.(2P*<3/2>).20d<5/2>,"(3/2,5/2)*",3,65758.86,,,L5815
3s2.3p.nd,*,2,65760.5,,,L5815
3s2.3p.(2P*<3/2>).20d<3/2>,"(3/2,3/2)*",1,65761.36,,,L5815
3s2.3p.(2P*<3/2>).22s<1/2>,"(3/2,1/2)*",1,65764.03,,,L5815
3s2.3p.(2P*<3/2>).21d<5/2>,"(3/2,5/2)*",3,65784.65,,,L5815
3s2.3p.nd,*,2,65786.0,,,L5815
3s2.3p.(2P*<3/2>).21d<3/2>,"(3/2,3/2)*",1,65786.9,,,L5815
3s2.3p.(2P*<3/2>).23s<1/2>,"(3/2,1/2)*",1,65789.56,,,L5815
3s2.3p.(2P*<3/2>).22d<5/2>,"(3/2,5/2)*",3,65806.94,,,L5815
3s2.3p.nd,*,2,65807.9,,,L5815
3s2.3p.(2P*<3/2>).22d<3/2>,"(3/2,3/2)*",1,65808.8,,,L5815
3s2.3p.(2P*<3/2>).24s<1/2>,"(3/2,1/2)*",1,65811.24,,,L5815
3s2.3p.(2P*<3/2>).23d<5/2>,"(3/2,5/2)*",3,65826.36,,,L5815
3s2.3p.nd,*,2,65827.3,,,L5815
3s2.3p.(2P*<3/2>).23d<3/2>,"(3/2,3/2)*",1,65827.98,,,L5815
3s2.3p.(2P*<3/2>).24d<5/2>,"(3/2,5/2)*",3,65843.45,,,L5815
3s2.3p.(2P*<3/2>).24d<3/2>,"(3/2,3/2)*",1,65844.5,,,L5815
3s2.3p.(2P*<3/2>).25d<5/2>,"(3/2,5/2)*",3,65858.5,,,L5815
3s2.3p.(2P*<3/2>).25d<3/2>,"(3/2,3/2)*",1,65859.72,,,L5815
3s2.3p.(2P*<3/2>).26d<5/2>,"(3/2,5/2)*",3,65871.88,,,L5815
3s2.3p.(2P*<3/2>).26d<3/2>,"(3/2,3/2)*",1,65872.83,,,L5815
3s2.3p.(2P*<3/2>).27d<5/2>,"(3/2,5/2)*",3,65883.8,,,L5815
3s2.3p.(2P*<3/2>).27d<3/2>,"(3/2,3/2)*",1,65884.68,,,L5815
3s2.3p.(2P*<3/2>).28d<3/2>,"(3/2,3/2)*",1,65894.14,,,L5815
3s2.3p.(2P*<3/2>).28d<5/2>,"(3/2,5/2)*",3,65894.52,,,L5815
3s2.3p.(2P*<3/2>).29d<5/2>,"(3/2,5/2)*",3,65904.12,,,L5815
3s2.3p.(2P*<3/2>).29d<3/2>,"(3/2,3/2)*",1,65904.47,,,L5815
3s2.3p.(2P*<3/2>).30d<5/2>,"(3/2,5/2)*",3,65912.6,,,L5815
3s2.3p.(2P*<3/2>).30d<3/2>,"(3/2,3/2)*",1,65913.13,,,L5815
3s2.3p.(2P*<3/2>).31d<3/2>,"(3/2,3/2)*",1,65920.18,,,L5815
3s2.3p.(2P*<3/2>).31d<5/2>,"(3/2,5/2)*",3,65920.45,,,L5815
3s2.3p.(2P*<3/2>).32d<5/2>,"(3/2,5/2)*",3,65927.37,,,L5815
3s2.3p.(2P*<3/2>).32d<3/2>,"(3/2,3/2)*",1,65927.5,,,L5815
3s2.3p.(2P*<3/2>).33d<5/2>,"(3/2,5/2)*",3,65933.95,,,L5815
3s2.3p.(2P*<3/2>).33d<3/2>,"(3/2,3/2)*",1,65934.45,,,L5815
3s2.3p.(2P*<3/2>).34d<5/2>,"(3/2,5/2)*",3,65939.75,,,L5815
3s2.3p.(2P*<3/2>).34d<3/2>,"(3/2,3/2)*",1,65939.96,,,L5815
3s2.3p.(2P*<3/2>).35d<3/2>,"(3/2,3/2)*",1,65945.16,,,L5815
3s2.3p.(2P*<3/2>).35d<5/2>,"(3/2,5/2)*",3,65945.19,,,L5815
3s2.3p.(2P*<3/2>).36d<5/2>,"(3/2,5/2)*",3,65950.17,,,L5815
3s2.3p.(2P*<3/2>).36d<3/2>,"(3/2,3/2)*",1,65950.26,,,L5815
3s2.3p.(2P*<3/2>).37d<5/2>,"(3/2,5/2)*",3,65954.76,,,L5815
3s2.3p.(2P*<3/2>).37d<3/2>,"(3/2,3/2)*",1,65954.87,,,L5815
3s2.3p.(2P*<3/2>).38d<5/2>,"(3/2,5/2)*",3,65958.8,,,L5815
3s2.3p.(2P*<3/2>).38d<3/2>,"(3/2,3/2)*",1,65959.06,,,L5815
3s2.3p.(2P*<3/2>).39d<5/2>,"(3/2,5/2)*",3,65962.63,,,L5815
3s2.3p.(2P*<3/2>).39d<3/2>,"(3/2,3/2)*",1,65962.72,,,L5815
3s2.3p.(2P*<3/2>).40d<3/2>,"(3/2,3/2)*",1,65966.17,,,L5815
3s2.3p.(2P*<3/2>).40d<5/2>,"(3/2,5/2)*",3,65966.22,,,L5815
3s2.3p.(2P*<3/2>).41d<5/2>,"(3/2,5/2)*",3,65969.54,,,L5815
3s2.3p.(2P*<3/2>).41d<3/2>,"(3/2,3/2)*",1,65969.58,,,L5815
3s2.3p.(2P*<3/2>).42d<5/2>,"(3/2,5/2)*",3,65972.57,,,L5815
3s2.3p.(2P*<3/2>).42d<3/2>,"(3/2,3/2)*",1,65972.64,,,L5815
3s2.3p.(2P*<3/2>).43d<5/2>,"(3/2,5/2)*",3,65975.36,,,L5815
3s2.3p.(2P*<3/2>).43d<3/2>,"(3/2,3/2)*",1,65975.41,,,L5815
3s2.3p.(2P*<3/2>).44d<5/2>,"(3/2,5/2)*",3,65978.19,,,L5815
3s2.3p.(2P*<3/2>).44d<3/2>,"(3/2,3/2)*",1,65978.19,,,L5815
3s2.3p.(2P*<3/2>).45d<3/2>,"(3/2,3/2)*",1,65980.66,,,L5815
3s2.3p.(2P*<3/2>).45d<5/2>,"(3/2,5/2)*",3,65980.95,,,L5815
3s2.3p.(2P*<3/2>).46d<5/2>,"(3/2,5/2)*",3,65982.98,,,L5815
3s2.3p.(2P*<3/2>).46d<3/2>,"(3/2,3/2)*",1,65983.38,,,L5815
3s2.3p.(2P*<3/2>).47d<5/2>,"(3/2,5/2)*",3,65985.09,,,L5815
3s2.3p.(2P*<3/2>).47d<3/2>,"(3/2,3/2)*",1,65985.23,,,L5815
3s2.3p.(2P*<3/2>).48d<5/2>,"(3/2,5/2)*",3,65987.29,,,L5815
3s2.3p.(2P*<3/2>).48d<3/2>,"(3/2,3/2)*",1,65987.41,,,L5815
3s2.3p.(2P*<3/2>).49d<5/2>,"(3/2,5/2)*",3,65989.29,,,L5815
3s2.3p.(2P*<3/2>).49d<3/2>,"(3/2,3/2)*",1,65989.36,,,L5815
3s2.3p.(2P*<3/2>).50d<5/2>,"(3/2,5/2)*",3,65990.87,,,L5815
3s2.3p.(2P*<3/2>).50d<3/2>,"(3/2,3/2)*",1,65991.07,,,L5815
3s2.3p.(2P*<3/2>).51d<5/2>,"(3/2,5/2)*",3,65992.59,,,L5815
3s2.3p.(2P*<3/2>).52d<5/2>,"(3/2,5/2)*",3,65994.3,,,L5815
3s2.3p.(2P*<3/2>).53d<5/2>,"(3/2,5/2)*",3,65995.81,,,L5815
3s2.3p.(2P*<3/2>).54d<5/2>,"(3/2,5/2)*",3,65997.34,,,L5815
3s2.3p.(2P*<3/2>).55d<5/2>,"(3/2,5/2)*",3,65998.59,,,L5815
3s2.3p.(2P*<3/2>).56d<5/2>,"(3/2,5/2)*",3,66000.05,,,L5815
Si II (3p 2P*<3/2>),Limit,---,66035.0,,,L5815
3s.3p3,3S*,1,79664.0,,100,L5815
3s.3p2.(4P).4s,5P,1,81724.6,,,L5815
3s.3p2.(4P).4s,5P,2,81826.2,,,L5815
3s.3p2.(4P).4s,5P,3,81976.16,,,L5815
3s.3p2.(4P).4p,3D*?,3,92330.0,,,L5815
3s.3p2.(4P).4p,3D*?,2,92330.0,,,L5815
3s.3p2.(4P).4p,3D*?,1,92330.0,,,L5815
3s.3p2.(4P).3d,5P,3,94291.73,,,L5815
3s.3p2.(4P).3d,5P,2,94365.59,,,L5815
3s.3p2.(4P).3d,5P,1,94413.01,,,L5815
3s.3p2.(4P).5p,3D*?,3,100430.0,,,L5815
3s.3p2.(4P).5p,3D*?,2,100430.0,,,L5815
3s.3p2.(4P).5p,3D*?,1,100430.0,,,L5815
