obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
,197.75979,,27900000.0,B,0.0,50566.397,3s2.3p2,3P,0,3s2.3p.3d,3P*,1,E1,T5814,
,197.9205,,86900000.0,B,77.115,50602.44,3s2.3p2,3P,1,3s2.3p.3d,3P*,0,E1,T5814,
,198.06184,,20700000.0,B,77.115,50566.397,3s2.3p2,3P,1,3s2.3p.3d,3P*,1,E1,T5814,
,198.32328,,21800000.0,B,77.115,50499.838,3s2.3p2,3P,1,3s2.3p.3d,3P*,2,E1,T5814,
198.443,,30,,,,,,,,,,,E1,,L3521
,198.6364,,36500000.0,B,223.157,50566.397,3s2.3p2,3P,2,3s2.3p.3d,3P*,1,E1,T5814,
,198.89937,,65800000.0,B,223.157,50499.838,3s2.3p2,3P,2,3s2.3p.3d,3P*,2,E1,T5814,
199.185,,50,,,,,,,,,,,E1,,L3521
,,intens,,Acc,,,conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
201.097,,30,,,,,,,,,,,E1,,L3521
205.483,,50,,,,,,,,,,,E1,,L3521
,205.81331,,70800000.0,C,6298.85,54871.031,3s2.3p2,1D,2,3s2.3p.5s,1P*,1,E1,T5071,
206.119,,40,,,,,,,,,,,E1,,L3521
206.552,,30,,,,,,,,,,,E1,,L3521
,207.27641,,459000.0,E,6298.85,54528.22,3s2.3p2,1D,2,3s2.3p.5s,3P*,2,E1,T5071,
,208.20208,,6450000.0,D,6298.85,54313.818,3s2.3p2,1D,2,3s2.3p.5s,3P*,1,E1,T5071,
,208.44625,,2730000.0,D+,6298.85,54257.582,3s2.3p2,1D,2,3s2.3p.3d,3D*,3,E1,"T8363c22,T5071",
,208.67467,,32600.0,E,6298.85,54205.09,3s2.3p2,1D,2,3s2.3p.3d,3D*,2,E1,"T8363c22,T5071",
,208.76108,,546000.0,E,6298.85,54185.264,3s2.3p2,1D,2,3s2.3p.3d,3D*,1,E1,"T8363c22,T5071",
210.321,,30w,,,,,,,,,,,E1,,L3521
211.463,,30,,,,,,,,,,,E1,,L3521
,212.29904,,35700000.0,B,6298.85,53387.334,3s2.3p2,1D,2,3s2.3p.3d,1P*,1,E1,T5814,
212.412,212.4122,100,297000000.0,B,6298.85,53362.24,3s2.3p2,1D,2,3s2.3p.3d,1F*,3,E1,T5814,L3521
214.791,,50w,,,,,,,,,,,E1,,L3521
,220.71277,,0.00468,D,0.0,45293.629,3s2.3p2,3P,0,3s.3p3,3D*,2,M2,c22,
220.798,220.7978,110,26200000.0,B,0.0,45276.188,3s2.3p2,3P,0,3s.3p3,3D*,1,E1,T5814,L3521
,220.95132,,0.00458,D,77.115,45321.848,3s2.3p2,3P,1,3s.3p3,3D*,3,M2,c22,
221.089,221.08922,115,34600000.0,B,77.115,45293.629,3s2.3p2,3P,1,3s.3p3,3D*,2,E1,T5814,L3521
221.174,221.17454,110,18100000.0,B,77.115,45276.188,3s2.3p2,3P,1,3s.3p3,3D*,1,E1,T5814,L3521
221.667,221.66689,120,45400000.0,B,223.157,45321.848,3s2.3p2,3P,2,3s.3p3,3D*,3,E1,T5814,L3521
221.806,221.80569,120,10900000.0,B,223.157,45293.629,3s2.3p2,3P,2,3s.3p3,3D*,2,E1,T5814,L3521
221.891,221.89157,50,1050000.0,C+,223.157,45276.188,3s2.3p2,3P,2,3s.3p3,3D*,1,E1,T5814,L3521
,227.82803,,3560000.0,D,15394.37,59273.575,3s2.3p2,1S,0,3s2.3p.(2P*<1/2>).6s<1/2>,"(1/2,1/2)*",1,E1,T5071,
,228.25724,,19.9,D+,15394.37,59191.072,3s2.3p2,1S,0,3s2.3p.(2P*<3/2>).4f,2[3/2],2,E2,T5785,
,228.67593,,18.3,D+,15394.37,59110.892,3s2.3p2,1S,0,3s2.3p.(2P*<3/2>).4f,2[5/2],2,E2,T5785,
229.103,,35,,,,,,,,,,,E1,,L3521
230.306,230.30585,55,348000000.0,C+,15394.37,58801.529,3s2.3p2,1S,0,3s2.3p.4d,1P*,1,E1,T5071,L3521
243.515,243.51545,300,44300000.0,B,6298.85,47351.554,3s2.3p2,1D,2,3s2.3p.3d,1D*,2,E1,T5814,L3521
243.877,243.87678,65,791000.0,D,0.0,40991.884,3s2.3p2,3P,0,3s2.3p.4s,1P*,1,E1,T5814,L3521
244.336,244.33647,65,628000.0,C+,77.115,40991.884,3s2.3p2,3P,1,3s2.3p.4s,1P*,1,E1,T5814,L3521
245.212,245.2118,70,581000.0,D,223.157,40991.884,3s2.3p2,3P,2,3s2.3p.4s,1P*,1,E1,T5814,L3521
250.69,250.6897,425,54700000.0,B,77.115,39955.053,3s2.3p2,3P,1,3s2.3p.4s,3P*,2,E1,T5814,L3521
251.432,251.43156,375,73900000.0,B,0.0,39760.285,3s2.3p2,3P,0,3s2.3p.4s,3P*,1,E1,T5814,L3521
251.6113,251.61122,500,168000000.0,B,223.157,39955.053,3s2.3p2,3P,2,3s2.3p.4s,3P*,2,E1,T5814,L3521
251.9202,251.92019,350,54900000.0,B,77.115,39760.285,3s2.3p2,3P,1,3s2.3p.4s,3P*,1,E1,T5814,L3521
252.4108,252.41077,425,222000000.0,B,77.115,39683.163,3s2.3p2,3P,1,3s2.3p.4s,3P*,0,E1,T5814,L3521
252.8509,252.85079,450,90400000.0,B,223.157,39760.285,3s2.3p2,3P,2,3s2.3p.4s,3P*,1,E1,T5814,L3521
253.2381,253.23811,110,24500000.0,C,15394.37,54871.031,3s2.3p2,1S,0,3s2.3p.5s,1P*,1,E1,T5071,L3521
,256.18234,,0.00462,D,6298.85,45321.848,3s2.3p2,1D,2,3s.3p3,3D*,3,M2,c22,
256.3679,256.36774,30,0.0042,D,6298.85,45293.629,3s2.3p2,1D,2,3s.3p3,3D*,2,M2,c22,L3521
,256.48246,,0.00178,E,6298.85,45276.188,3s2.3p2,1D,2,3s.3p3,3D*,1,M2,c22,
256.8641,256.86398,85,4240000.0,D,15394.37,54313.818,3s2.3p2,1S,0,3s2.3p.5s,3P*,1,E1,T5071,L3521
257.7151,,45,,,,,,,,,,,E1,,L3521
263.1282,263.12818,190,106000000.0,B,15394.37,53387.334,3s2.3p2,1S,0,3s2.3p.3d,1P*,1,E1,T5814,L3521
288.1579,288.15777,1000,217000000.0,B,6298.85,40991.884,3s2.3p2,1D,2,3s2.3p.4s,1P*,1,E1,T5814,L3521
297.0355,297.03532,55,60000.0,E,6298.85,39955.053,3s2.3p2,1D,2,3s2.3p.4s,3P*,2,E1,T5814,L3521
298.7645,298.76434,150,2660000.0,D+,6298.85,39760.285,3s2.3p2,1D,2,3s2.3p.4s,3P*,1,E1,T5814,L3521
,299.97808,,0.000657,D,0.0,33326.053,3s2.3p2,3P,0,3s.3p3,5S*,2,M2,c22,
300.6739,300.67385,50,1100.0,E,77.115,33326.053,3s2.3p2,3P,1,3s.3p3,5S*,2,E1,T6066c4,L3521
,300.67385,,0.00145,D,77.115,33326.053,3s2.3p2,3P,1,3s.3p3,5S*,2,M2,c22,
302.0004,302.00041,75,3300.0,E,223.157,33326.053,3s2.3p2,3P,2,3s.3p3,5S*,2,E1,T6066c4,L3521
,302.00041,,0.00109,D,223.157,33326.053,3s2.3p2,3P,2,3s.3p3,5S*,2,M2,c22,
390.5523,390.55231,300,13300000.0,B,15394.37,40991.884,3s2.3p2,1S,0,3s2.3p.4s,1P*,1,E1,T5814,L3521
410.2936,410.29359,70,60900.0,E,15394.37,39760.285,3s2.3p2,1S,0,3s2.3p.4s,3P*,1,E1,T8363c22,L3521
,411.59638,,,,15394.37,39683.163,3s2.3p2,1S,0,3s2.3p.4s,3P*,0,E1,,
,472.1571,,340000.0,D,39683.163,60856.63,3s2.3p.4s,3P*,0,3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",1,E1,"T6066c4,LS",
,473.8832,,1000000.0,D,39760.285,60856.63,3s2.3p.4s,3P*,1,3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",1,E1,"T6066c4,LS",
,474.7993,,570000.0,D,39760.285,60815.925,3s2.3p.4s,3P*,1,3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",2,E1,"T6066c4,LS",
,475.5276,,750000.0,D,39683.163,60706.558,3s2.3p.4s,3P*,0,3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",1,E1,"T6066c4,LS",
,477.2785,,570000.0,D,39760.285,60706.558,3s2.3p.4s,3P*,1,3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",1,E1,"T6066c4,LS",
478.2991,478.2991,50,1700000.0,D,39955.053,60856.63,3s2.3p.4s,3P*,2,3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",1,E1,"T6066c4,LS",L3521
479.2212,479.2213,35,2200000.0,D,39760.285,60621.64,3s2.3p.4s,3P*,1,3s2.3p.(2P*<1/2>).6p<1/2>,"(1/2,1/2)",0,E1,"T6066c4,LS",L3521
479.2324,479.2324,80,1700000.0,D,39955.053,60815.925,3s2.3p.4s,3P*,2,3s2.3p.(2P*<3/2>).6p<1/2>,"(3/2,1/2)",2,E1,"T6066c4,LS",L3521
,480.5439,,600000.0,D,39683.163,60487.103,3s2.3p.4s,3P*,0,3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",1,E1,"T6066c4,LS",
,481.7581,,910000.0,D,39955.053,60706.558,3s2.3p.4s,3P*,2,3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",1,E1,"T6066c4,LS",
,481.8052,,1100000.0,D,39955.053,60704.53,3s2.3p.4s,3P*,2,3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",3,E1,"T6066c4,LS",
,482.1167,,800000.0,D,39760.285,60496.358,3s2.3p.4s,3P*,1,3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",2,E1,"T6066c4,LS",
,482.3319,,450000.0,E,39760.285,60487.103,3s2.3p.4s,3P*,1,3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",1,E1,"T6066c4,LS",
,486.688,,260000.0,E,39955.053,60496.358,3s2.3p.4s,3P*,2,3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",2,E1,"T6066c4,LS",
,486.9074,,29000.0,E,39955.053,60487.103,3s2.3p.4s,3P*,2,3s2.3p.(2P*<1/2>).6p<3/2>,"(1/2,3/2)",1,E1,"T6066c4,LS",
494.7607,494.7607,30,4200000.0,D,40991.884,61198.036,3s2.3p.4s,1P*,1,3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",0,E1,T1619CA,L3521
500.6061,500.6059,40,2800000.0,D,40991.884,60962.105,3s2.3p.4s,1P*,1,3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",2,E1,T1619CA,L3521
549.323,,40,,,,,,,,,,,E1,,L3521
551.7535,,35,,,,,,,,,,,E1,,L3521
,559.794,,540000.0,D,39683.163,57541.918,3s2.3p.4s,3P*,0,3s2.3p.5p,3S,1,E1,"T6066c4,LS",
562.2221,562.222,30,1600000.0,D,39760.285,57541.918,3s2.3p.4s,3P*,1,3s2.3p.5p,3S,1,E1,"T6066c4,LS",L3521
564.5611,564.5613,90,970000.0,D,39760.285,57468.239,3s2.3p.4s,3P*,1,3s2.3p.5p,3P,2,E1,"T6066c4,LS",L3521
566.5554,566.5555,80,631000.0,D,39683.163,57328.789,3s2.3p.4s,3P*,0,3s2.3p.5p,3P,1,E1,T2301,L3521
568.4484,568.4484,120,2600000.0,D,39955.053,57541.918,3s2.3p.4s,3P*,2,3s2.3p.5p,3S,1,E1,"T6066c4,LS",L3521
569.0425,569.0425,100,926000.0,D+,39760.285,57328.789,3s2.3p.4s,3P*,1,3s2.3p.5p,3P,1,E1,T2301,L3521
570.1105,570.1104,90,1830000.0,D,39760.285,57295.881,3s2.3p.4s,3P*,1,3s2.3p.5p,3P,0,E1,T2301,L3521
570.8397,570.84,160,1390000.0,D+,39955.053,57468.239,3s2.3p.4s,3P*,2,3s2.3p.5p,3P,2,E1,T2301,L3521
574.7667,,45,,,,,,,,,,,E1,,L3521
575.3625,,45,,,,,,,,,,,E1,,L3521
575.422,575.4218,45,1230000.0,E,39955.053,57328.789,3s2.3p.4s,3P*,2,3s2.3p.5p,3P,1,E1,T8363,L3521
576.2977,,45,,,,,,,,,,,E1,,L3521
577.2145,577.2146,70,3560000.0,D+,40991.884,58311.659,3s2.3p.4s,1P*,1,3s2.3p.5p,1S,0,E1,T2301,L3521
578.0384,578.0384,70,297000.0,D,39683.163,56978.256,3s2.3p.4s,3P*,0,3s2.3p.5p,3D,1,E1,T2301,L3521
579.3071,579.3073,90,383000.0,E,39760.285,57017.496,3s2.3p.4s,3P*,1,3s2.3p.5p,3D,2,E1,T8363,L3521
579.7859,579.7856,100,253000.0,D,39955.053,57198.027,3s2.3p.4s,3P*,2,3s2.3p.5p,3D,3,E1,T2301,L3521
,580.6275,,212000.0,E,39760.285,56978.256,3s2.3p.4s,3P*,1,3s2.3p.5p,3D,1,E1,T8363,
,585.9201,,124000.0,E,39955.053,57017.496,3s2.3p.4s,3P*,2,3s2.3p.5p,3D,2,E1,T8363,
,587.2707,,13600.0,E,39955.053,56978.256,3s2.3p.4s,3P*,2,3s2.3p.5p,3D,1,E1,T8363,
587.3764,,40,,,,,,,,,,,E1,,L3521
594.8545,594.8541,200,2220000.0,C,40991.884,57798.072,3s2.3p.4s,1P*,1,3s2.3p.5p,1D,2,E1,T2301,L3521
612.5021,,90,,,,,,,,,,,E1,,L3521
613.1574,,85,,,,,,,,,,,E1,,L3521
613.185,,90,,,,,,,,,,,E1,,L3521
614.2487,,100,,,,,,,,,,,E1,,L3521
614.5015,,100,,,,,,,,,,,E1,,L3521
615.5134,,160,,,,,,,,,,,E1,,L3521
623.732,,160,,,,,,,,,,,E1,,L3521
623.8287,,40,,,,,,,,,,,E1,,L3521
624.3813,,125,,,,,,,,,,,E1,,L3521
624.4468,,125,,,,,,,,,,,E1,,L3521
625.4188,,180,,,,,,,,,,,E1,,L3521
633.1954,633.1956,45,10000.0,E,40991.884,56780.427,3s2.3p.4s,1P*,1,3s2.3p.5p,1P,1,E1,T1619CA,L3521
,651.873,,590000.0,D,48020.074,63356.24,3s2.3p.4p,3D,1,3s2.3p.7d,1D*,2,E1,"T6066c4,LS",
652.6609,,45,,,,,,,,,,,E1,,L3521
,652.6782,,0.0274,D,77.115,15394.37,3s2.3p2,3P,1,3s2.3p2,1S,0,M1,"c22,T4209",
652.7199,,45,,,,,,,,,,,E1,,L3521
,655.388,,110000.0,E,48102.323,63356.24,3s2.3p.4p,3D,2,3s2.3p.7d,1D*,2,E1,"T6066c4,LS",
655.5462,655.5463,45,690000.0,D,48264.292,63514.533,3s2.3p.4p,3D,3,3s2.3p.7d,3F*,4,E1,"T6066c4,LS",L3521
,656.057,,600000.0,D,48102.323,63340.7,3s2.3p.4p,3D,2,3s2.3p.7d,3F*,3,E1,"T6066c4,LS",
,658.9611,,0.000775,D,223.157,15394.37,3s2.3p2,3P,2,3s2.3p2,1S,0,E2,"c22,T4209",
,662.422,,2900.0,E,48264.292,63356.24,3s2.3p.4p,3D,3,3s2.3p.7d,1D*,2,E1,"T6066c4,LS",
,663.105,,73000.0,E,48264.292,63340.7,3s2.3p.4p,3D,3,3s2.3p.7d,3F*,3,E1,"T6066c4,LS",
672.1853,672.1848,100,3400000.0,D,47284.061,62156.816,3s2.3p.4p,1P,1,3s2.3p.6d,1D*,2,E1,T1619CA,L3521
674.164,,30,,,,,,,,,,,E1,,L3521
684.8568,,30,,,,,,,,,,,E1,,L3521
697.6523,697.651,80,3260000.0,D,48020.074,62349.93,3s2.3p.4p,3D,1,3s2.3p.6d,3F*,2,E1,T6066LS,L3521
700.3567,700.3569,180,3420000.0,D+,48102.323,62376.82,3s2.3p.4p,3D,2,3s2.3p.6d,3F*,3,E1,T6066LS,L3521
700.5883,700.588,180,3830000.0,D+,48264.292,62534.08,3s2.3p.4p,3D,3,3s2.3p.6d,3F*,4,E1,T6066LS,L3521
,701.679,,596000.0,E,48102.323,62349.93,3s2.3p.4p,3D,2,3s2.3p.6d,3F*,2,E1,T6066LS,
701.728,,30,,,,,,,,,,,E1,,L3521
701.7646,,90,,,,,,,,,,,E1,,L3521
703.4903,,250,,,,,,,,,,,E1,,L3521
,708.395,,413000.0,E,48264.292,62376.82,3s2.3p.4p,3D,3,3s2.3p.6d,3F*,3,E1,T6066LS,
,709.747,,16200.0,E,48264.292,62349.93,3s2.3p.4p,3D,3,3s2.3p.6d,3F*,2,E1,T6066LS,
716.469,,70,,,,,,,,,,,E1,,L3521
716.5545,,200,,,,,,,,,,,E1,,L3521
718.489,,70,,,,,,,,,,,E1,,L3521
719.358,719.355,65,717000.0,E,49028.294,62925.8,3s2.3p.4p,3P,0,3s2.3p.6d,3D*,1,E1,T6066LS,L3521
719.39,,30,,,,,,,,,,,E1,,L3521
,721.031,,535000.0,E,49060.601,62925.8,3s2.3p.4p,3P,1,3s2.3p.6d,3D*,1,E1,T6066LS,
722.6206,,100,,,,,,,,,,,E1,,L3521
723.5326,,100,,,,,,,,,,,E1,,L3521
723.582,,60,,,,,,,,,,,E1,,L3521
725.0625,,180,,,,,,,,,,,E1,,L3521
,727.203,,1250000.0,D,49188.617,62936.14,3s2.3p.4p,3P,2,3s2.3p.6d,3D*,3,E1,T6066LS,
727.5294,,160,,,,,,,,,,,E1,,L3521
,727.751,,34600.0,E,49188.617,62925.8,3s2.3p.4p,3P,2,3s2.3p.6d,3D*,1,E1,T6066LS,
728.281,,40,,,,,,,,,,,E1,,L3521
728.9173,,400,,,,,,,,,,,E1,,L3521
,728.96,,933000.0,E,49060.601,62774.99,3s2.3p.4p,3P,1,3s2.3p.6d,3D*,2,E1,T6066LS,
729.026,,55,,,,,,,,,,,E1,,L3521
,735.829,,302000.0,E,49188.617,62774.99,3s2.3p.4p,3P,2,3s2.3p.6d,3D*,2,E1,T6066LS,
737.3,,35,,,,,,,,,,,E1,,L3521
740.5774,,375,,,,,,,,,,,E1,,L3521
740.9082,,200,,,,,,,,,,,E1,,L3521
741.535,,40,,,,,,,,,,,E1,,L3521
741.5946,,275,,,,,,,,,,,E1,,L3521
742.3497,,425,,,,,,,,,,,E1,,L3521
742.46,,85,,,,,,,,,,,E1,,L3521
768.0267,768.0266,100,4620000.0,C+,47284.061,60300.86,3s2.3p.4p,1P,1,3s2.3p.5d,1D*,2,E1,T2301,L3521
774.271,774.272,40,5340000.0,C,50054.8,62966.61,3s2.3p.3d,3F*,4,3s2.3p.(2P*<3/2>).6f,2[9/2],5,E1,T6066LS',L3521
780.0008,,30,,,,,,,,,,,E1,,L3521
784.9967,,30,,,,,,,,,,,E1,,L3521
791.8386,791.8384,90,5220000.0,C+,48020.074,60645.441,3s2.3p.4p,3D,1,3s2.3p.5d,3F*,2,E1,T2301,L3521
,792.585,,2080000.0,D,50189.389,62802.86,3s2.3p.4p,1D,2,3s2.3p.6d,1F*,3,E1,T6066,
793.2349,793.2348,120,5130000.0,C+,48102.323,60705.464,3s2.3p.4p,3D,2,3s2.3p.5d,3F*,3,E1,T2301,L3521
794.4001,794.4001,140,5750000.0,B,48264.292,60848.946,3s2.3p.4p,3D,3,3s2.3p.5d,3F*,4,E1,T2301,L3521
797.0306,797.0307,35,711000.0,C,48102.323,60645.441,3s2.3p.4p,3D,2,3s2.3p.5d,3F*,2,E1,T2301,L3521
,800.669,,92000.0,E,50499.838,62985.96,3s2.3p.3d,3P*,2,3s2.3p.(2P*<3/2>).6f,2[3/2],1,E1,T6066LS',
,800.839,,977000.0,E,49028.294,61511.77,3s2.3p.4p,3P,0,3s2.3p.5d,3D*,1,E1,T6066LS,
,802.917,,726000.0,E,49060.601,61511.77,3s2.3p.4p,3P,1,3s2.3p.5d,3D*,1,E1,T6066LS,
803.5619,803.5618,35,811000.0,D,48264.292,60705.464,3s2.3p.4p,3D,3,3s2.3p.5d,3F*,3,E1,T8363,L3521
,804.96,,1360000.0,D,50566.397,62985.96,3s2.3p.3d,3P*,1,3s2.3p.(2P*<3/2>).6f,2[3/2],1,E1,T6066LS',
,807.059,,1290000.0,D,49060.601,61447.86,3s2.3p.4p,3P,1,3s2.3p.5d,3D*,2,E1,T6066LS,
,807.1284,,1720000.0,D,49188.617,61574.814,3s2.3p.4p,3P,2,3s2.3p.5d,3D*,3,E1,T6066LS,
,807.303,,1800000.0,D,50602.44,62985.96,3s2.3p.3d,3P*,0,3s2.3p.(2P*<3/2>).6f,2[3/2],1,E1,T6066LS',
,807.4574,,31600.0,E,48264.292,60645.441,3s2.3p.4p,3D,3,3s2.3p.5d,3F*,2,E1,T8363,
809.3241,809.3232,70,1500000.0,D,47284.061,59636.667,3s2.3p.4p,1P,1,3s2.3p.(2P*<3/2>).6s<1/2>,"(3/2,1/2)*",1,E1,T1619CA,L3521
,811.258,,46900.0,E,49188.617,61511.77,3s2.3p.4p,3P,2,3s2.3p.5d,3D*,1,E1,T6066LS,
,815.487,,416000.0,E,49188.617,61447.86,3s2.3p.4p,3P,2,3s2.3p.5d,3D*,2,E1,T6066LS,
823.0642,,35,,,,,,,,,,,E1,,L3521
,835.3719,,340000.0,D,50189.389,62156.816,3s2.3p.4p,1D,2,3s2.3p.6d,1D*,2,E1,T2301,
844.3982,,40,,,,,,,,,,,E1,,L3521
850.1547,,40,,,,,,,,,,,E1,,L3521
850.2221,,60,,,,,,,,,,,E1,,L3521
853.6165,,40,,,,,,,,,,,E1,,L3521
855.678,,120,,,,,,,,,,,E1,,L3521
864.8462,864.847,50,9120000.0,C,50054.8,61614.37,3s2.3p.3d,3F*,4,3s2.3p.(2P*<3/2>).5f,2[9/2],5,E1,T6066LS',L3521
,868.008,,19000.0,E,47284.061,58801.529,3s2.3p.4p,1P,1,3s2.3p.4d,1P*,1,E1,T1619CA,
872.8011,,40,,,,,,,,,,,E1,,L3521
874.2451,,75,,,,,,,,,,,E1,,L3521
875.2009,,100,,,,,,,,,,,E1,,L3521
879.0389,,35,,,,,,,,,,,E1,,L3521
,889.923,,3420000.0,D+,50189.389,61423.23,3s2.3p.4p,1D,2,3s2.3p.5d,1F*,3,E1,T6066,
,896.814,,155000.0,E,50499.838,61647.36,3s2.3p.3d,3P*,2,3s2.3p.(2P*<3/2>).5f,2[3/2],1,E1,T6066LS',
,902.201,,2290000.0,D,50566.397,61647.36,3s2.3p.3d,3P*,1,3s2.3p.(2P*<3/2>).5f,2[3/2],1,E1,T6066LS',
,905.145,,3010000.0,D+,50602.44,61647.36,3s2.3p.3d,3P*,0,3s2.3p.(2P*<3/2>).5f,2[3/2],1,E1,T6066LS',
,939.342,,895000.0,E,49399.67,60042.5,3s2.3p.4p,3S,1,3s2.3p.nd,a 3P*,0,E1,T6066LS,
941.3506,941.35,100,22600000.0,C+,40991.884,51612.012,3s2.3p.4s,1P*,1,3s2.3p.4p,1S,0,E1,T8363c22,L3521
,942.1786,,886000.0,D,49399.67,60010.458,3s2.3p.4p,3S,1,3s2.3p.nd,a 3P*,1,E1,T6066LS,
,950.5205,,863000.0,D,49399.67,59917.336,3s2.3p.4p,3S,1,3s2.3p.nd,a 3P*,2,E1,T6066LS,
,988.7047,,567000.0,D,50189.389,60300.86,3s2.3p.4p,1D,2,3s2.3p.5d,1D*,2,E1,T6066,
,996.9132,,854000.0,D,49028.294,59056.508,3s2.3p.4p,3P,0,3s2.3p.4d,3D*,1,E1,T6066LS,
,1000.1353,,634000.0,D,49060.601,59056.508,3s2.3p.4p,3P,1,3s2.3p.4d,3D*,1,E1,T6066LS,
,1002.574,,1130000.0,D,49060.601,59032.19,3s2.3p.4p,3P,1,3s2.3p.4d,3D*,2,E1,T6066LS,
,1006.833,,1490000.0,D+,49188.617,59118.03,3s2.3p.4p,3P,2,3s2.3p.4d,3D*,3,E1,T6066LS,
,1013.1101,,40700.0,E,49188.617,59056.508,3s2.3p.4p,3P,2,3s2.3p.4d,3D*,1,E1,T6066LS,
,1015.613,,363000.0,D,49188.617,59032.19,3s2.3p.4p,3P,2,3s2.3p.4d,3D*,2,E1,T6066LS,
,1028.8944,,701000.0,C+,39683.163,49399.67,3s2.3p.4s,3P*,0,3s2.3p.4p,3S,1,E1,T8363c22,
,1031.32,,2320000.0,D+,51612.012,61305.67,3s2.3p.4p,1S,0,3s2.3p.5d,1P*,1,E1,T6066,
1037.1269,1037.1264,30,4010000.0,C+,39760.285,49399.67,3s2.3p.4s,3P*,1,3s2.3p.4p,3S,1,E1,T8363c22,L3521
1058.5141,1058.5142,120,17800000.0,B,39955.053,49399.67,3s2.3p.4s,3P*,2,3s2.3p.4p,3S,1,E1,T8363c22,L3521
1060.3431,1060.3425,120,5210000.0,C+,39760.285,49188.617,3s2.3p.4s,3P*,1,3s2.3p.4p,3P,2,E1,T8363c22,L3521
1066.0975,1066.0973,120,9270000.0,C+,39683.163,49060.601,3s2.3p.4s,3P*,0,3s2.3p.4p,3P,1,E1,T8363c22,L3521
,1068.9716,,14500000.0,C+,48020.074,57372.297,3s2.3p.4p,3D,1,3s2.3p.4d,3F*,2,E1,T6066LS,
1069.4251,1069.4252,30,15300000.0,C+,48102.323,57450.58,3s2.3p.4p,3D,2,3s2.3p.4d,3F*,3,E1,T6066LS,L3521
1072.7408,1072.7406,30,17000000.0,B,48264.292,57583.657,3s2.3p.4p,3D,3,3s2.3p.4d,3F*,4,E1,T6066LS,L3521
1074.9384,1074.9378,60,10300000.0,C+,39760.285,49060.601,3s2.3p.4s,3P*,1,3s2.3p.4p,3P,1,E1,T8363c22,L3521
1078.455,1078.4563,30,2610000.0,D+,48102.323,57372.297,3s2.3p.4p,3D,2,3s2.3p.4d,3F*,2,E1,T6066LS,L3521
1078.6856,1078.6849,80,24800000.0,C+,39760.285,49028.294,3s2.3p.4s,3P*,1,3s2.3p.4p,3P,0,E1,T8363c22,L3521
1082.7091,1082.7089,140,19700000.0,B,39955.053,49188.617,3s2.3p.4s,3P*,2,3s2.3p.4p,3P,2,E1,T8363c22,L3521
1084.3854,1084.3858,60,18800000.0,C+,47284.061,56503.346,3s2.3p.4p,1P,1,3s2.3p.4d,1D*,2,E1,T6066,L3521
1086.879,,30,,,,,,,,,,,E1,,L3521
1086.9541,1086.9536,130,21800000.0,B,40991.884,50189.389,3s2.3p.4s,1P*,1,3s2.3p.4p,1D,2,E1,T8363c22,L3521
1088.2802,1088.2809,30,1820000.0,D+,48264.292,57450.58,3s2.3p.4p,3D,3,3s2.3p.4d,3F*,3,E1,T6066LS,L3521
1088.5336,,30,,,,,,,,,,,E1,,L3521
,1097.6346,,70000.0,E,48264.292,57372.297,3s2.3p.4p,3D,3,3s2.3p.4d,3F*,2,E1,T6066LS,
1097.9308,1097.9308,80,5050000.0,C+,39955.053,49060.601,3s2.3p.4s,3P*,2,3s2.3p.4p,3P,1,E1,T8363c22,L3521
1098.2061,,30,,,,,,,,,,,E1,,L3521
,1099.1413,,1.0,C,6298.85,15394.37,3s2.3p2,1D,2,3s2.3p2,1S,0,E2,"c22,T4209",
1101.7965,,80,,,,,,,,,,,E1,,L3521
1118.76,,13,,,,,,,,,,,E1,,L4745
1128.984,,12,,,,,,,,,,,E1,,L4745
,1148.581,,5340000.0,C,50189.389,58893.4,3s2.3p.4p,1D,2,3s2.3p.4d,1F*,3,E1,T6066,
,1150.351,,277000.0,E,50499.838,59190.46,3s2.3p.3d,3P*,2,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E1,T6066LS',
,1159.229,,4060000.0,C,50566.397,59190.46,3s2.3p.3d,3P*,1,3s2.3p.(2P*<3/2>).4f,2[3/2],1,E1,T6066LS',
