obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
,13014.1,,27500.0,D,63781.97,,3s2.3p.(2P*<3/2>).7f,2[9/2],5,3s2.3p.9d,3F*,4,E1,T6066LS',
,13021.0,,5050.0,C,56700.25,57468.239,3s2.3p.4d,3P*,1,3s2.3p.5p,3P,2,E1,T6066LS,
,13064.7,,326000.0,B+,60848.946,61614.37,3s2.3p.5d,3F*,4,3s2.3p.(2P*<3/2>).5f,2[9/2],5,E1,T6066LS',
,13319.7,,13.2,D,47351.554,48102.323,3s2.3p.3d,1D*,2,3s2.3p.4p,3D,2,E1,T8363c22,
,13453.0,,11000.0,C+,60704.53,61447.86,3s2.3p.(2P*<3/2>).6p<3/2>,"(3/2,3/2)",3,3s2.3p.5d,3D*,2,E1,T6066LS',
,13757.5,,700.0,D+,59190.46,59917.336,3s2.3p.(2P*<3/2>).4f,2[3/2],1,3s2.3p.nd,a 3P*,2,E1,T6066LS',
,14364.5,,113000.0,C+,63097.36,63793.52,3s2.3p.6d,3P*,1,3s2.3p.(2P*<3/2>).7f,2[3/2],1,E1,T6066LS',
,14921.8,,135000.0,B,63123.36,63793.52,3s2.3p.6d,3P*,0,3s2.3p.(2P*<3/2>).7f,2[3/2],1,E1,T6066LS',
,14958.4,,39.6,D,47351.554,48020.074,3s2.3p.3d,1D*,2,3s2.3p.4p,3D,1,E1,T8363c22,
,15676.8,,4840.0,C,56690.903,57328.789,3s2.3p.4d,3P*,2,3s2.3p.5p,3P,1,E1,T6066LS,
,15722.5,,904.0,D,62349.93,62985.96,3s2.3p.6d,3F*,2,3s2.3p.(2P*<3/2>).6f,2[3/2],1,E1,T6066LS',
,15909.9,,2770.0,D+,56700.25,57328.789,3s2.3p.4d,3P*,1,3s2.3p.5p,3P,1,E1,T6066LS,
,16788.9,,9440.0,C,56700.25,57295.881,3s2.3p.4d,3P*,1,3s2.3p.5p,3P,0,E1,T6066LS,
,16795.2,,3140.0,D+,56733.38,57328.789,3s2.3p.4d,3P*,0,3s2.3p.5p,3P,1,E1,T8363,
,17268.5,,869.0,D,61841.94,62421.03,3s2.3p.5d,3P*,2,3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",3,E1,T6066LS',
,18250.7,,103000.0,B,62966.61,63514.533,3s2.3p.(2P*<3/2>).6f,2[9/2],5,3s2.3p.7d,3F*,4,E1,T6066LS',
,19413.3,,45300.0,B,62421.03,62936.14,3s2.3p.(2P*<3/2>).7p<3/2>,"(3/2,3/2)",3,3s2.3p.6d,3D*,3,E1,T6066LS',
,19719.0,,349.0,D+,56690.903,57198.027,3s2.3p.4d,3P*,2,3s2.3p.5p,3D,3,E1,T6066LS,
